,number_of_rooms,area_size,has_elevator,year_built,annual_fee_sek,annual_cost_sek,region_processed_bromma,region_processed_centrala sundbyberg,region_processed_gröndal,region_processed_hammarby sjöstad,region_processed_kungsholmen,region_processed_råsunda,region_processed_södermalm,region_processed_vasastan,region_processed_årsta,region_processed_östermalm,has_balcony_nej,has_balcony_unknown,cleaned_floor_number,brokerage_firm_processed_erik olsson fastighetsförmedling,brokerage_firm_processed_fastighetsbyrån stockholm - södermalm,brokerage_firm_processed_länsförsäkringar fastighetsförmedling solna,brokerage_firm_processed_notar,brokerage_firm_processed_tradition mäkleri,price_sold_sek
60,3.0,118,True,1930.0,2835,6600,False,False,False,False,True,False,False,False,False,False,True,False,0.0,False,False,False,False,False,11000000
62,3.0,74,True,1946.0,3786,4000,False,False,False,False,False,False,False,False,True,False,False,False,1.0,False,False,False,False,False,5200000
63,3.0,83,True,1975.0,8366,4884,False,False,False,False,False,False,False,False,False,False,False,False,11.0,False,False,False,True,False,1270000
64,3.0,915,True,2015.0,5249,8268,False,False,False,False,False,False,False,False,False,False,True,False,1.0,False,False,False,True,False,3395000
65,2.0,64,True,2015.0,4111,5160,False,False,False,False,False,False,False,False,False,False,False,False,4.0,False,False,False,False,False,2820000
66,3.0,76,True,1944.0,5786,5400,False,False,False,False,False,False,False,False,False,False,False,False,3.0,False,False,False,False,False,2550000
67,3.0,83,True,1974.0,2122,6600,False,False,False,False,False,False,True,False,False,False,False,False,3.0,False,False,False,False,False,8300000
68,2.0,46,True,1929.0,1277,0,False,False,False,False,False,False,False,True,False,False,False,False,5.0,False,False,False,False,False,4525000
69,4.0,139,True,2014.0,7529,25059,False,False,False,False,False,False,True,False,False,False,False,False,6.0,False,False,False,False,True,13800000
70,2.0,537,True,1945.0,2687,0,False,False,False,False,False,False,False,False,False,False,False,False,2.0,False,False,False,False,False,3280000
71,3.0,73,True,1929.0,4104,6840,False,True,False,False,False,False,False,False,False,False,False,True,3.0,False,False,False,False,False,4550000
72,3.0,88,True,1928.0,5495,14734,False,False,False,False,False,False,False,False,False,False,False,False,1.0,False,True,False,False,False,7700000
74,3.0,91,True,1970.0,6327,3000,False,False,False,False,False,False,False,False,False,False,False,False,1.0,False,False,False,False,False,2595000
76,2.0,405,True,1942.0,2959,5880,False,False,False,False,False,False,False,False,False,False,True,False,2.0,True,False,False,False,False,3900000
79,3.0,74,True,2023.0,4958,0,False,False,False,False,False,False,False,False,False,False,False,False,1.0,False,False,False,False,False,4795000
80,5.0,1523,True,1906.0,6425,41316,False,False,False,False,True,False,False,False,False,False,False,False,5.0,False,False,False,False,False,17750000
81,2.0,68,True,1967.0,4883,1692,False,False,False,False,False,False,False,False,False,False,False,False,2.0,False,False,False,False,False,1270000
82,3.0,795,True,1986.0,5082,0,False,False,False,False,False,False,False,False,False,False,False,False,6.0,False,False,False,False,False,5475000
85,6.0,116,True,1951.0,6156,7500,False,False,False,False,False,False,False,False,True,False,False,False,2.0,False,False,False,False,False,7100000
86,2.0,46,True,2016.0,2875,3600,False,False,False,False,False,False,False,False,False,False,False,True,3.0,False,False,False,False,False,1795000
88,3.0,80,True,1952.0,5470,1800,False,False,False,False,False,False,False,False,False,False,False,True,1.0,False,False,False,False,False,2110000
89,3.0,81,True,1971.0,4543,6000,False,False,False,False,False,False,False,False,False,False,False,False,4.0,False,False,False,False,False,2160000
90,2.0,61,True,1959.0,4438,0,False,False,False,False,False,False,False,False,False,False,False,False,4.0,False,False,False,False,False,1895000
91,4.0,81,True,2003.0,6160,3000,False,False,False,False,False,False,False,False,False,False,False,False,1.0,False,False,False,False,False,1750000
93,3.0,785,True,2005.0,5291,0,False,False,False,False,False,False,False,False,False,False,False,False,5.0,False,False,False,False,False,4000000
94,2.0,35,True,1939.0,2805,6240,False,False,False,False,True,False,False,False,False,False,False,False,4.0,False,False,False,False,False,3125000
95,2.0,638,True,1946.0,2817,0,False,False,False,False,False,False,False,False,False,False,False,True,2.0,False,False,False,False,False,4150000
96,2.0,36,True,1960.0,1592,2508,False,False,False,False,False,False,False,False,False,False,False,True,9.0,False,False,False,False,False,2450000
97,2.0,557,True,1998.0,3701,5640,False,False,False,False,False,False,False,False,False,False,False,True,3.0,False,False,False,False,False,2810000
98,3.0,72,True,1949.0,5225,8400,False,False,False,False,False,False,False,False,False,False,False,True,1.0,False,False,False,False,False,2000000
99,2.0,69,True,1993.0,3464,0,False,False,False,False,False,False,True,False,False,False,False,False,2.0,False,False,False,False,False,5580000
100,3.0,68,True,2014.0,3690,18480,False,False,False,True,False,False,False,False,False,False,False,False,3.0,False,False,False,False,False,5200000
101,2.0,53,True,2004.0,3694,0,False,False,False,False,False,False,False,False,False,False,False,True,1.0,False,False,False,False,False,1500000
102,3.0,60,True,1945.0,4018,8400,False,True,False,False,False,False,False,False,False,False,False,True,1.0,False,False,False,False,False,3415000
103,3.0,88,True,1968.0,5700,0,False,False,False,False,False,False,False,False,False,False,False,False,2.0,False,False,False,False,False,2025000
106,4.0,89,True,2011.0,5931,6600,False,True,False,False,False,False,False,False,False,False,False,False,1.0,False,False,False,False,False,5575000
107,2.0,43,True,1985.0,2233,0,False,False,False,False,False,False,False,False,False,False,False,False,3.0,False,False,False,False,False,3320000
108,1.0,41,True,2017.0,2555,7800,False,False,False,False,False,False,False,False,False,False,False,False,3.0,False,False,False,False,False,1950000
110,4.0,102,True,2017.0,5773,0,False,False,False,False,False,False,False,False,False,False,False,False,2.0,False,False,True,False,False,5375000
111,2.0,615,True,1985.0,4475,4428,False,False,False,False,False,False,False,False,False,False,False,False,1.0,False,False,False,False,False,2260000
112,4.0,126,True,1861.0,4179,10500,False,False,False,False,False,False,False,False,False,False,False,False,5.0,True,False,False,False,False,14350000
113,3.0,68,True,2020.0,5327,0,False,False,False,False,False,False,False,False,False,False,False,False,7.0,False,False,False,True,False,4200000
114,4.0,139,True,1882.0,3063,8900,False,False,False,False,False,False,False,False,False,True,False,False,3.0,False,False,False,False,False,23700000
115,1.0,215,True,1952.0,1535,5880,False,False,False,False,False,False,False,False,False,False,False,False,5.0,True,False,False,False,False,1905000
118,2.0,36,True,1938.0,3094,5400,False,False,False,False,False,False,False,False,False,False,False,False,2.0,False,False,False,False,False,2830000
119,1.0,215,False,1984.0,1076,4800,False,False,False,False,False,False,False,False,False,False,False,True,2.0,False,False,False,False,False,1980000
120,3.0,60,True,2010.0,2825,0,False,False,False,False,False,False,False,False,False,False,False,False,1.0,False,False,True,False,False,3500000
121,2.0,52,True,1939.0,3658,4200,False,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,False,True,False,5275000
122,3.0,77,True,1986.0,4780,9360,False,False,False,False,False,False,False,False,False,False,False,False,1.0,True,False,False,False,False,4725000
123,1.0,30,False,1938.0,2295,8100,False,False,False,False,False,False,False,False,False,False,True,False,2.0,False,False,False,False,False,2420000
124,2.0,35,True,2021.0,2633,3840,False,False,False,False,False,False,True,False,False,False,True,False,4.0,False,False,False,True,False,3450000
125,3.0,735,True,2010.0,3960,0,False,False,False,False,False,False,False,False,False,False,False,False,2.0,False,False,False,True,False,5200000
126,4.0,85,True,2017.0,5764,11400,False,False,False,False,False,False,False,False,False,False,False,False,1.0,True,False,False,False,False,4125000
127,2.0,665,True,1984.0,4559,3000,False,False,False,False,False,False,False,False,False,False,False,False,3.0,False,False,False,False,False,1710000
128,2.0,61,True,2018.0,3990,7800,False,False,False,False,False,False,False,False,False,False,True,False,1.0,False,False,False,False,False,3200000
129,2.0,48,True,1882.0,2271,0,False,False,False,False,True,False,False,False,False,False,False,True,5.0,False,False,False,False,False,5350000
130,2.0,63,True,1964.0,2259,4200,False,False,False,False,False,False,True,False,False,False,False,False,1.0,False,False,False,True,False,5300000
132,3.0,68,True,1990.0,3223,6684,False,False,False,False,False,False,True,False,False,False,False,False,3.0,False,False,False,False,False,5275000
133,2.0,41,True,1939.0,2900,4700,False,False,False,False,False,False,False,False,False,True,False,False,1.0,False,False,False,False,False,5425000
134,3.0,75,True,2020.0,4378,8232,False,False,False,False,False,False,False,False,False,False,False,False,3.0,False,False,False,False,False,3930000
135,2.0,45,True,1939.0,3309,4780,False,False,False,False,False,False,False,False,False,False,False,False,2.0,True,False,False,False,False,3050000
136,2.0,70,True,2006.0,3910,6600,False,False,False,False,False,False,False,False,False,False,False,False,3.0,False,False,False,False,False,5060000
137,3.0,90,True,2003.0,6651,4800,False,False,False,False,False,False,False,False,False,False,False,False,2.0,False,False,False,False,False,2995000
138,1.0,29,True,1928.0,1549,3132,False,False,False,False,False,False,False,False,False,False,True,False,1.0,True,False,False,False,False,3200000
139,2.0,61,True,1959.0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,6.0,False,False,False,True,False,3950000
140,4.0,110,True,1939.0,6268,12425,False,False,False,False,False,False,False,False,False,False,False,False,3.0,False,False,False,False,False,4350000
144,4.0,795,True,2004.0,4635,8500,False,False,False,False,False,False,False,False,False,False,False,False,4.0,True,False,False,False,False,6250000
145,2.0,60,True,1928.0,3215,0,False,False,False,False,False,False,False,False,False,False,True,False,0.0,False,False,False,False,False,5600000
146,1.0,30,True,1931.0,1304,5880,False,False,False,False,False,False,False,False,False,False,True,False,1.0,True,False,False,False,False,3160000
149,3.0,67,True,1973.0,4087,3600,False,False,False,False,False,False,False,False,False,False,False,False,7.0,False,False,False,False,False,2600000
150,3.0,88,True,1914.0,5012,9744,False,False,False,False,False,False,False,False,False,False,False,False,4.0,False,False,False,False,False,9550000
153,3.0,73,True,1976.0,5356,6720,False,False,False,False,False,False,False,False,False,False,False,False,2.0,False,False,False,False,False,1690000
154,2.0,415,True,2014.0,2685,2772,False,False,False,False,False,False,False,False,False,False,False,False,3.0,False,False,False,True,False,2920000
155,2.0,62,True,2017.0,3775,6188,False,True,False,False,False,False,False,False,False,False,False,False,9.0,False,False,False,False,False,4650000
156,4.0,89,True,1973.0,5429,4500,False,False,False,False,False,False,False,False,False,False,False,False,4.0,False,False,False,True,False,3595000
