,price_sold_sek,number_of_rooms,area_size,has_elevator,year_built,annual_fee_sek,annual_cost_sek,region_processed_bromma,region_processed_centrala sundbyberg,region_processed_gröndal,region_processed_hammarby sjöstad,region_processed_kungsholmen,region_processed_råsunda,region_processed_södermalm,region_processed_vasastan,region_processed_årsta,region_processed_östermalm,has_balcony_nej,has_balcony_unknown,cleaned_floor_number,brokerage_firm_processed_erik olsson fastighetsförmedling,brokerage_firm_processed_fastighetsbyrån stockholm - södermalm,brokerage_firm_processed_länsförsäkringar fastighetsförmedling solna,brokerage_firm_processed_notar,brokerage_firm_processed_tradition mäkleri
41,3500000,1.0,40.0,True,1932.0,0.0,2400.0,False,False,False,False,False,False,False,False,False,False,False,True,5.0,False,True,False,False,False
42,3680000,2.0,49.0,True,2023.0,4256.0,6000.0,False,False,False,False,False,False,False,False,False,False,False,False,3.0,False,False,False,False,False
43,3475000,2.0,37.0,True,1911.0,2145.0,0.0,False,False,False,False,False,False,True,False,False,False,True,False,1.0,False,False,False,True,False
44,3545000,2.0,56.0,False,2019.0,3439.0,4020.0,False,False,False,False,False,True,False,False,False,False,False,False,3.770742549167892,False,False,True,False,False
45,2225000,2.0,29.0,True,1940.0,2835.0,4714.0,False,False,False,False,False,False,False,False,False,False,False,False,3.0,False,False,False,False,False
46,6850000,3.0,64.0,False,1912.0,3797.0,7200.0,False,False,False,False,False,False,True,False,False,False,True,False,2.42393929619357,False,False,False,False,False
47,2900000,4.0,89.0,False,1999.0,3630.0,7200.0,False,False,False,False,False,False,False,False,False,False,False,False,2.9160771275603956,False,False,False,False,False
48,2925000,2.0,54.0,True,2011.0,3815.0,7720.0,False,False,False,False,False,False,False,False,False,False,False,False,4.0,False,False,False,False,False
49,1595000,1.0,33.0,True,2020.0,1987.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,2.0,False,False,False,False,False
50,1350000,1.0,27.0,True,1964.0,1733.0,0.0,False,False,False,False,False,False,False,False,False,False,True,False,1.0,False,False,False,False,False
51,5725000,2.0,57.0,True,2018.0,4932.0,0.0,False,False,False,False,False,False,False,True,False,False,False,False,5.0,False,False,False,True,False
52,1195000,2.0,585.0,True,1961.0,4811.0,6360.0,False,False,False,False,False,False,False,False,False,False,False,False,3.0,False,False,False,False,False
53,1400000,1.0,27.0,True,1958.0,1608.0,7040.0,False,False,False,False,False,False,False,False,False,False,True,False,1.0,False,False,False,False,False
54,11000000,3.0,118.0,True,1930.0,2835.0,6600.0,False,False,False,False,True,False,False,False,False,False,True,False,0.0,False,False,False,False,False
55,5375000,3.0,76.0,False,2023.0,4101.0,0.0,False,False,False,False,False,False,True,False,False,False,True,False,4.095939799049596,False,False,False,True,False
56,5200000,3.0,74.0,True,1946.0,3786.0,4000.0,False,False,False,False,False,False,False,False,True,False,False,False,1.0,False,False,False,False,False
57,1270000,3.0,83.0,True,1975.0,8366.0,4884.0,False,False,False,False,False,False,False,False,False,False,False,False,11.0,False,False,False,True,False
58,3395000,3.0,915.0,True,2015.0,5249.0,8268.0,False,False,False,False,False,False,False,False,False,False,True,False,1.0,False,False,False,True,False
59,2820000,2.0,64.0,True,2015.0,4111.0,5160.0,False,False,False,False,False,False,False,False,False,False,False,False,4.0,False,False,False,False,False
60,2550000,3.0,76.0,True,1944.0,5786.0,5400.0,False,False,False,False,False,False,False,False,False,False,False,False,3.0,False,False,False,False,False
61,8300000,3.0,83.0,True,1974.0,2122.0,6600.0,False,False,False,False,False,False,True,False,False,False,False,False,3.0,False,False,False,False,False
62,4525000,2.0,46.0,True,1929.0,1277.0,0.0,False,False,False,False,False,False,False,True,False,False,False,False,5.0,False,False,False,False,False
63,13800000,4.0,139.0,True,2014.0,7529.0,25059.0,False,False,False,False,False,False,True,False,False,False,False,False,6.0,False,False,False,False,True
64,3280000,2.0,537.0,True,1945.0,2687.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,2.0,False,False,False,False,False
65,4550000,3.0,73.0,True,1929.0,4104.0,6840.0,False,True,False,False,False,False,False,False,False,False,False,True,3.0,False,False,False,False,False
66,7700000,3.0,88.0,True,1928.0,5495.0,14734.0,False,False,False,False,False,False,False,False,False,False,False,False,1.0,False,True,False,False,False
67,2320000,2.0,615.0,False,1966.0,4266.0,4200.0,False,False,False,False,False,False,False,False,False,False,True,False,2.8359522024366512,False,False,False,False,False
68,2595000,3.0,91.0,True,1970.0,6327.0,3000.0,False,False,False,False,False,False,False,False,False,False,False,False,1.0,False,False,False,False,False
69,2750000,3.0,67.0,False,2018.0,6301.0,7734.0,False,False,False,False,False,False,False,False,False,False,False,False,3.324709086314982,False,False,False,False,False
70,3900000,2.0,405.0,True,1942.0,2959.0,5880.0,False,False,False,False,False,False,False,False,False,False,True,False,2.0,True,False,False,False,False
71,3900000,3.0,54.0,False,1959.0,2444.0,0.0,False,False,True,False,False,False,False,False,False,False,True,False,2.9163920714217433,False,False,False,True,False
72,4795000,3.0,74.0,True,2023.0,4958.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,1.0,False,False,False,False,False
73,17750000,5.0,1032.5,True,1906.0,6425.0,40286.399999999994,False,False,False,False,True,False,False,False,False,False,False,False,5.0,False,False,False,False,False
74,1270000,2.0,68.0,True,1967.0,4883.0,1692.0,False,False,False,False,False,False,False,False,False,False,False,False,2.0,False,False,False,False,False
75,5475000,3.0,795.0,True,1986.0,5082.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,6.0,False,False,False,False,False
76,3575000,2.0,59.0,False,1960.0,2211.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,3.0521616679366375,False,False,False,True,False
77,7100000,6.0,116.0,True,1951.0,6156.0,7500.0,False,False,False,False,False,False,False,False,True,False,False,False,2.0,False,False,False,False,False
78,1795000,2.0,46.0,True,2016.0,2875.0,3600.0,False,False,False,False,False,False,False,False,False,False,False,True,3.0,False,False,False,False,False
79,2110000,3.0,80.0,True,1952.0,5470.0,1800.0,False,False,False,False,False,False,False,False,False,False,False,True,1.0,False,False,False,False,False
80,2160000,3.0,81.0,True,1971.0,4543.0,6000.0,False,False,False,False,False,False,False,False,False,False,False,False,4.0,False,False,False,False,False
81,1895000,2.0,61.0,True,1959.0,4438.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,4.0,False,False,False,False,False
82,1750000,4.0,81.0,True,2003.0,6160.0,3000.0,False,False,False,False,False,False,False,False,False,False,False,False,1.0,False,False,False,False,False
83,4000000,3.0,785.0,True,2005.0,5291.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,5.0,False,False,False,False,False
84,3125000,2.0,35.0,True,1939.0,2805.0,6240.0,False,False,False,False,True,False,False,False,False,False,False,False,4.0,False,False,False,False,False
85,4150000,2.0,638.0,True,1946.0,2817.0,0.0,False,False,False,False,False,False,False,False,False,False,False,True,2.0,False,False,False,False,False
86,2450000,2.0,36.0,True,1960.0,1592.0,2508.0,False,False,False,False,False,False,False,False,False,False,False,True,9.0,False,False,False,False,False
87,2810000,2.0,557.0,True,1998.0,3701.0,5640.0,False,False,False,False,False,False,False,False,False,False,False,True,3.0,False,False,False,False,False
88,2000000,3.0,72.0,True,1949.0,5225.0,8400.0,False,False,False,False,False,False,False,False,False,False,False,True,1.0,False,False,False,False,False
89,5580000,2.0,69.0,True,1993.0,3464.0,0.0,False,False,False,False,False,False,True,False,False,False,False,False,2.0,False,False,False,False,False
90,5200000,3.0,68.0,True,2014.0,3690.0,18480.0,False,False,False,True,False,False,False,False,False,False,False,False,3.0,False,False,False,False,False
91,1500000,2.0,53.0,True,2004.0,3694.0,0.0,False,False,False,False,False,False,False,False,False,False,False,True,1.0,False,False,False,False,False
92,3415000,3.0,60.0,True,1945.0,4018.0,8400.0,False,True,False,False,False,False,False,False,False,False,False,True,1.0,False,False,False,False,False
93,2025000,3.0,88.0,True,1968.0,5700.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,2.0,False,False,False,False,False
94,3700000,3.0,79.0,False,1960.0,4461.0,6000.0,False,False,False,False,False,False,False,False,False,False,False,True,2.6820919770842835,False,False,False,False,False
95,5575000,4.0,89.0,True,2011.0,5931.0,6600.0,False,True,False,False,False,False,False,False,False,False,False,False,1.0,False,False,False,False,False
96,3320000,2.0,43.0,True,1985.0,2233.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,3.0,False,False,False,False,False
97,1950000,1.0,41.0,True,2017.0,2555.0,7800.0,False,False,False,False,False,False,False,False,False,False,False,False,3.0,False,False,False,False,False
98,6080000,4.0,134.0,False,1952.0,4772.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,2.992349941579409,False,False,True,False,False
99,5375000,4.0,102.0,True,2017.0,5773.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,2.0,False,False,True,False,False
100,2260000,2.0,615.0,True,1985.0,4475.0,4428.0,False,False,False,False,False,False,False,False,False,False,False,False,1.0,False,False,False,False,False
101,14350000,4.0,126.0,True,1861.0,4179.0,10500.0,False,False,False,False,False,False,False,False,False,False,False,False,5.0,True,False,False,False,False
102,4200000,3.0,68.0,True,2020.0,5327.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,7.0,False,False,False,True,False
103,20000000,4.0,139.0,True,1882.0,3063.0,8900.0,False,False,False,False,False,False,False,False,False,True,False,False,3.0,False,False,False,False,False
104,1905000,1.0,287.0,True,1952.0,1535.0,5880.0,False,False,False,False,False,False,False,False,False,False,False,False,5.0,True,False,False,False,False
105,2350000,1.0,30.0,False,1939.0,2214.0,5880.0,False,False,False,False,False,True,False,False,False,False,True,False,2.502510298781118,True,False,False,False,False
