iter	RMSE
400	808521.2965
401	807847.6385
402	807127.7523
403	806546.5668
404	805899.7723
405	804948.0034
406	804306.8961
407	803806.9162
408	803510.5042
409	802742.8609
410	802156.3343
411	801449.1212
412	800518.87
413	799528.9308
414	798897.7877
415	798522.6344
416	797934.8895
417	797003.7912
418	796301.3967
419	795208.4382
420	794586.8511
421	793754.832
422	793346.3564
423	792359.2734
424	791862.8235
425	791502.3869
426	790925.0619
427	790287.4471
428	789358.1947
429	788599.0487
430	788165.8681
431	787340.3309
432	786974.1468
433	786458.9593
434	786078.8479
435	785654.2389
436	785107.144
437	784471.8166
438	783346.5285
439	782892.2733
440	781782.903
441	781242.2428
442	780933.5073
443	780560.7356
444	779483.5833
445	779178.6285
446	778629.0836
447	778063.9444
448	777572.0616
449	777014.6624
450	776705.0504
451	776282.2399
452	775941.4561
453	775115.5785
454	774224.7672
455	773728.0498
456	773441.8054
457	772818.6101
458	771312.591
459	770998.5189
460	770651.9009
461	770127.0032
462	769315.8794
463	768799.8974
464	768172.6081
465	767520.2936
466	767262.2525
467	766306.0718
468	765638.9693
469	764524.7956
470	764031.4009
471	763679.7106
472	763133.8625
473	762649.14
474	762233.851
475	761516.3417
476	761236.9505
477	760735.8856
478	759798.1611
479	759128.3031
480	758809.2139
481	758214.3783
482	757783.4019
483	757512.299
484	756995.9155
485	756437.9512
486	755340.0557
487	755026.988
488	754469.7365
489	754210.6616
490	753471.4934
491	753164.9867
492	752566.5838
493	751293.4331
494	751046.3661
495	750129.6434
496	749718.2244
497	749142.013
498	748545.2417
499	747783.8563
500	747099.2048
501	746406.2201
502	746013.1088
503	745449.7327
504	744709.2
505	744454.6078
506	744057.6078
507	743728.9423
508	743158.8522
509	742311.746
510	741637.8289
511	740879.4349
512	740464.454
513	740238.058
514	739390.0913
515	738774.7356
516	738433.0797
517	737832.9167
518	737389.6193
519	737101.1958
520	736096.308
521	735399.4644
522	734855.672
523	733977.8634
524	733728.7279
525	733548.4254
526	732949.0957
527	732463.1627
528	731256.2521
529	730840.0124
530	730375.2334
531	729680.4936
532	729101.3947
533	728890.262
534	728385.4974
535	728089.298
536	727590.3296
537	727087.4284
538	725785.8742
539	725395.5642
540	724772.0027
541	724345.5485
542	723925.1353
543	723451.4825
544	723206.9591
545	722810.591
546	722464.1349
547	721890.4544
548	721618.2058
549	721117.0389
550	720364.5217
551	719157.3169
552	718682.5591
553	718116.4733
554	717739.9048
555	717486.5611
556	717166.0083
557	716795.0794
558	716347.4269
559	715939.1232
560	715396.967
561	714686.9715
562	713854.8534
563	713658.0007
564	712911.6135
565	712624.6404
566	711819.1615
567	711556.0871
568	711091.0905
569	710395.3586
570	710200.2114
571	709634.2783
572	709364.8295
573	708950.8199
574	708622.6123
575	708144.2306
576	707739.9996
577	707478.5504
578	706373.4587
579	705913.2712
580	705505.14
581	704760.2886
582	704150.9325
583	703838.5794
584	703256.0112
585	702929.6494
586	702445.5475
587	702243.1329
588	702052.2438
589	701657.7939
590	701397.8887
591	700669.4622
592	700411.8854
593	699954.4259
594	699567.0823
595	699025.6638
596	698779.8487
597	698427.7942
598	697660.0201
599	697032.6294
600	696302.694
601	695786.5606
602	695238.0814
603	694710.0269
604	694176.9727
605	693701.5835
606	693434.315
607	693277.1346
608	692761.2971
609	692197.0947
610	692008.6291
611	691366.0205
612	690642.5602
613	690305.4809
614	689950.102
615	689758.8038
616	689317.1473
617	689124.4547
618	688778.2068
619	688177.9977
620	687546.3565
621	687054.8538
622	686868.3114
623	686035.5372
624	685572.9906
625	684974.833
626	684545.2229
627	684362.3021
628	683871.2482
629	683750.6823
630	682988.711
631	682679.938
632	682494.02
633	682162.2956
634	681675.3996
635	681310.1549
636	681168.2595
637	680468.5832
638	680026.771
639	679736.0115
640	679259.1081
641	678622.1779
642	678175.3619
643	677767.5776
644	677242.2889
645	676565.411
646	676053.0682
647	675618.2301
648	675077.7622
649	674466.8805
650	673930.1305
651	673426.0998
652	672944.7829
653	672650.1308
654	672301.31
655	672001.2229
656	671565.2078
657	671337.9398
658	670957.0435
659	670209.2726
660	669732.4549
661	669366.126
662	669021.0415
663	668554.1168
664	667970.7209
665	667719.1095
666	667455.8601
667	667047.7566
668	666871.5914
669	666685.2569
670	666184.2962
671	665771.38
672	665093.0919
673	664749.6477
674	664286.6902
675	664128.9716
676	664056.3469
677	663561.024
678	663478.4709
679	663322.6588
680	662806.6049
681	662394.34
682	662119.4788
683	661831.7296
684	661437.9449
685	661145.2091
686	660664.4439
687	660334.7406
688	659985.1852
689	659776.9711
690	659195.4832
691	658484.486
692	658172.4433
693	657863.8507
694	657812.9186
695	657424.7454
696	656926.9405
697	656469.2998
698	656320.7553
699	655784.1126
700	655431.6511
701	654968.4824
702	654573.9949
703	654404.8231
704	654078.9948
705	653906.9364
706	653358.1592
707	652813.4222
708	652502.1363
709	652252.609
710	651801.176
711	651478.3277
712	651282.5652
713	651071.0247
714	650432.4731
715	650166.7888
716	649904.7175
717	649485.2413
718	649089.0925
719	648851.5707
720	648586.9789
721	648349.244
722	648224.2457
723	648091.8556
724	647664.7303
725	647418.4214
726	647221.39
727	646746.249
728	646386.4477
729	646253.6512
730	645870.4332
731	645697.5096
732	645239.038
733	644808.792
734	644500.1326
735	644002.4792
736	643709.4212
737	643561.2122
738	643218.2859
739	642796.0612
740	642434.1843
741	642075.5775
742	641850.1171
743	641577.8514
744	641137.0576
745	640680.8156
746	640439.6322
747	640037.0997
748	639425.8341
749	639217.1371
750	638937.9573
751	638577.1612
752	638234.4793
753	638047.3906
754	637910.1471
755	637323.246
756	637205.2302
757	636785.9105
758	636372.854
759	635836.0681
760	635234.885
761	634934.2518
762	634557.7082
763	634226.8539
764	633748.779
765	633099.989
766	632899.5119
767	632305.0167
768	631895.7941
769	631663.7012
770	631428.9312
771	631131.1538
772	630786.6689
773	630516.1834
774	630258.0649
775	630012.266
776	629901.4425
777	629510.6611
778	629048.6878
779	628902.1089
780	628449.7633
781	628047.838
782	627744.2441
783	627442.5501
784	627131.2531
785	626799.0256
786	626456.7028
787	626026.876
788	625573.0866
789	625020.4672
790	624711.8733
791	624536.3826
792	624238.1456
793	623955.0455
794	623580.7671
795	623259.7548
796	622636.7596
797	622407.6346
798	622366.5306
799	622124.9224
800	621852.858
801	621392.2103
802	620953.0283
803	620457.7476
804	619945.4285
805	619791.2954
806	619420.0049
807	619016.4217
808	618594.4535
809	618410.1337
